,SRR3917608,SRR3736988,SRR3736989,SRR3917587,SRR3917627,SRR3917619,SRR3736999,SRR3736998,SRR3737029,SRR3737001,SRR3737015,SRR3917694,SRR3730381,SRR3730395,SRR3730356,SRR3730357,SRR3730394,SRR3730380,SRR3917695,SRR3737014,SRR3737000,SRR3737028,SRR3737016,SRR3737002,SRR3917697,SRR3730396,SRR3730382,SRR3730355,SRR3730369,SRR3730368,SRR3730354,SRR3730383,SRR3730397,SRR3917696,SRR3737003,SRR3737017,SRR3737013,SRR3737007,SRR3917686,SRR3917692,SRR3730393,SRR3730387,SRR3730378,SRR3730350,SRR3730345,SRR3730351,SRR3730379,SRR3730386,SRR3730392,SRR3917693,SRR3917687,SRR3737006,SRR3737012,SRR3737004,SRR3737010,SRR3917691,SRR3730384,SRR3730390,SRR3730347,SRR3730353,SRR3730352,SRR3730346,SRR3730391,SRR3730385,SRR3917690,SRR3737011,SRR3737005,SRR3737020,SRR3917689,SRR3730388,SRR3730363,SRR3730377,SRR3730376,SRR3730362,SRR3730389,SRR3917688,SRR3737021,SRR3737009,SRR3737023,SRR3730374,SRR3730360,SRR3730348,SRR3730349,SRR3730361,SRR3730375,SRR3917648,SRR3737022,SRR3737026,SRR3730359,SRR3730371,SRR3730365,SRR3730364,SRR3730370,SRR3730358,SRR3917665,SRR3737025,SRR3737031,SRR3917698,SRR3730399,SRR3730400,SRR3730366,SRR3730372,SRR3730373,SRR3730367,SRR3730398,SRR3737018,SRR3737030,SRR3737024,SRR3917563,SRR3736995,SRR3736994,SRR3917562,SRR3736996,SRR3736997,SRR3736987,SRR3736993,SRR3736986,SRR3736990,SRR3736984,SRR3736985,SRR3736991
1952107,5,40,22,41,112,19,25,3,16,15,11,149,0,0,0,0,0,0,6,34,11,13,0,22,6,0,0,0,0,0,0,0,0,14,15,110,34,7,21,6,0,0,0,0,0,0,0,0,0,8,16,28,16,3,5,29,0,0,0,0,0,0,0,0,2,10,4,23,5,0,0,0,0,0,0,18,8,9,38,0,0,0,0,0,0,53,25,9,0,0,0,0,0,0,25,25,3,31,0,0,0,0,0,0,0,14,7,4,14,84,21,42,41,32,28,17,33,46,15,16,90
244366,0,1,0,0,0,0,0,0,0,0,50,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0
916,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,77,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,61,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,31,0,22,0,0,0,0,0,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82541,0,0,0,0,0,0,0,16,35,1,0,1,0,0,0,0,0,0,23,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0
339862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473,0,0,0,0,0,0,0,1,0,0,0,4782,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,3117,0,0,0,0,0,3828,0,0,0,0,0,0,0,0,1563,2982,0,324,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952144,2,1,3,9,6,4,6,3,3,3,6,1,0,0,0,0,0,0,1,2,4,2,0,4,4,0,0,0,0,0,0,0,0,3,4,5,9,1,3,2,0,0,0,0,0,0,0,0,0,0,5,3,9,2,3,3,0,0,0,0,0,0,0,0,4,2,2,2,8,0,0,0,0,0,0,2,2,4,6,0,0,0,0,0,0,7,6,2,0,0,0,0,0,0,4,4,2,11,0,0,0,0,0,0,0,4,4,6,4,9,3,5,4,9,10,5,15,6,4,5,4
1631346,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,2,0,25,0,4,0,0,0,0,0,0,0,0,0,0,21,6,0,0,0,6,33,1,0,0,0,0,0,0,0,0,7,4,0,0,0,0,4,0,6,0,0,0,0,0,0,5,9,0,0,7,0,0,0,0,0,0,0,21,14,7,11,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1111137,3,3,0,0,0,0,3,0,1,0,0,4,0,0,0,0,0,0,1,5,0,11,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,3,1,11,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,6,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,1,0,0,0,0
1262977,0,0,0,3,0,0,0,0,0,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0
165096,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,600,0,0,0,0,0,0,0,0,0,28,7,0,0,24,0,60,0,0,0,0,0,0,0,0,0,71,0,0,24,17,0,0,0,0,0,0,0,0,0,0,23,0,0,15,0,0,0,0,0,0,0,0,25,0,0,17,0,28,0,0,0,0,33,0,21,0,0,12,0,0,0,0,0,0,0,431,0,0,0,0,0,0,91,109,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632858,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,8,3,0,0,0,0,0,0,0,2,11,0,6,2,5,4,16,0,0,0,0,0,0,0,0,5,1,6,0,4,4,0,18,0,0,0,0,0,0,0,0,9,0,4,0,3,0,0,0,0,0,0,0,0,0,3,0,1,14,0,0,0,0,4,0,2,8,0,0,0,0,0,7,0,5,2,7,4,0,0,0,0,0,0,18,8,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1841855,31,15,20,2,49,6,9,1,13,1,2,6,0,0,0,0,4,0,6,13,12,3,0,3,0,0,0,0,0,0,0,0,0,1,14,30,5,0,33,1,0,0,0,0,16,0,0,0,0,3,8,3,9,1,3,30,0,0,0,0,0,0,0,0,1,2,7,40,2,0,0,0,0,0,0,25,2,16,8,0,0,0,0,0,0,17,12,5,0,0,0,0,0,0,13,14,3,13,0,23,0,0,0,0,0,11,2,2,7,9,73,5,76,1,2,6,11,34,3,2,26
64702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965585,3,3,1,1,0,2,4,3,2,1,2,12,0,0,0,0,0,0,1,2,1,29,0,0,11,0,0,0,0,0,0,0,0,0,1,1,1,9,1,11,0,0,0,0,0,0,0,0,0,1,1,10,3,16,0,2,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,2,9,1,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,6,1,3,0,0,0,0,0,0,0,1,0,2,1,1,0,2,4,1,2,1,5,0,1,3,0
1946278,0,0,1,5,2,0,6,1,0,1,1,1,0,0,0,0,0,0,2,0,1,5,0,1,2,0,0,0,0,0,0,0,0,0,1,5,6,0,4,3,0,0,0,0,0,0,0,0,0,1,0,4,29,3,1,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,4,1,7,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,1,28,0,0,0,0,0,0,0,1,2,0,1,1,1,1,8,1,12,1,50,2,1,4,3
1962403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252966,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0,0,9,0,0,0,0,0,0,0,0,10,1,0,0,0,6,0,9,0,1,0,1,0,0,0,4,3,0,2,0,0,0,0,0,0,0,0,0,5,0,3,3,3,5,0,0,0,1,0,3,2,0,0,0,0,0,0,13,0,5,0,0,10,0,0,0,1,0,0,0,4,0,5,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1263006,5,7,28,201,114,12,319,11,14,29,13,49,0,0,0,0,0,0,24,8,9,63,0,52,13,0,0,0,0,0,0,0,0,1,11,949,287,6,17,100,0,0,0,0,0,0,0,0,0,13,8,131,518,193,2,142,0,0,0,0,0,0,0,0,9,10,27,12,6,0,0,0,0,0,13,73,120,19,289,0,0,0,0,0,0,116,36,17,0,0,0,0,0,0,55,71,11,659,0,0,0,0,0,0,0,29,20,13,64,32,19,13,206,88,354,10,872,77,6,18,419
1262893,0,0,1,1487,2,1,3,4,1,0,0,1,0,0,0,0,0,0,3,0,1,2,0,9,2,0,0,0,0,0,0,0,0,0,1,3,13,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,2,0,0,0,0,0,0,0,0,0,1,2,4,12,0,0,0,3,0,0,2,3,1,3,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,3,2,1,3,0,0,0,0,0,0,0,5,2,27,1,1,3,1,9,74,6,4,5,2,1,1,7
76122,1,0,2,0,1,0,2,0,0,1,0,3,0,8,0,0,0,3,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,5,0,0,5,0,0,63,4,0,0,0,2,1,1,4,0,1,1,8,3,0,0,0,12,0,11,0,0,6,16,0,11,0,0,0,0,0,1,1,1,0,0,19,0,4,21,0,1,2,5,3,0,0,2,0,0,2,1,0,5,0,15,2,0,11,0,3,2,1,0,2,2,11,0,1,0,0,1,7,1,0,0,2
